Title,Model,Code Type,LOC,Errors,options remain unchanged,trailing-whitespace,undefined-variable,redefined-builtin,wildcard-import,return-outside-function,bad-continuation,used-before-assignment,too-many-locals,missing-docstring,too-few-public-methods,invalid-name,pointless-statement,blacklisted-name,trailing-comma-tuple,parse-error,unused-import,bare-except,anomalous-backslash-in-string,unused-argument,trailing-newlines,no-self-use,import-error,redefined-outer-name,relative-beyond-top-level,line-too-long,syntax-error,too-many-arguments,bad-whitespace,Other Errors
Braille Next Rep Algo.,Default,python,13,{'syntax-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Braille Next Rep Algo.,Default,python,36,{'missing-docstring': 2},0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,16,"{'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,20,"{'line-too-long': 1, 'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
Braille Next Rep Algo.,Default,python,16,"{'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,20,"{'line-too-long': 1, 'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
Braille Next Rep Algo.,Default,python,16,"{'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,16,"{'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,16,"{'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,20,"{'line-too-long': 1, 'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
Braille Next Rep Algo.,Default,python,16,"{'line-too-long': 1, 'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
Braille Next Rep Algo.,Default,python,16,"{'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,16,"{'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,16,"{'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,16,"{'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,16,"{'missing-docstring': 2, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,32,{'missing-docstring': 2},0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,53,{'missing-docstring': 2},0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braille Next Rep Algo.,Default,python,11,"{'line-too-long': 1, 'missing-docstring': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Braille Next Rep Algo.,Default,python,53,"{'line-too-long': 1, 'missing-docstring': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Braille Next Rep Algo.,Default,python,12,{'missing-docstring': 2},0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAM Roles with Policies,Default,python,16,"{'line-too-long': 1, 'missing-docstring': 2, 'import-error': 1}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
IAM Roles with Policies,Default,python,37,"{'line-too-long': 2, 'missing-docstring': 2, 'import-error': 1, 'redefined-outer-name': 2}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0
Sudoku Solver in Python,Default,python,64,{'missing-docstring': 2},0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudoku Solver in Python,Default,python,61,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function Definition Extraction,Default,python,2,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function Definition Extraction,Default,python,2,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function Definition Extraction,Default,python,2,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function Definition Extraction,Default,python,2,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plot Countries by GDP and Area,Default,python,37,"{'line-too-long': 3, 'missing-docstring': 1, 'import-error': 1, 'invalid-name': 1}",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
Plot Countries by GDP and Area,Default,python,39,"{'line-too-long': 2, 'missing-docstring': 1, 'import-error': 1, 'invalid-name': 1}",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
"Specify ""output"" needed",Default,python,8,"{'missing-docstring': 2, 'invalid-name': 1, 'no-else-return': 1}",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Summarizing Numpy Array Length,Default,python,11,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summarizing Numpy Array Length,Default,python,3,"{'missing-docstring': 1, 'undefined-variable': 1}",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summarizing Numpy Array Length,Default,python,3,"{'missing-docstring': 1, 'undefined-variable': 2}",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summarizing Numpy Array Length,Default,python,11,"{'missing-docstring': 2, 'redefined-outer-name': 1, 'no-else-return': 1}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Summarizing Numpy Array Length,Default,python,2,"{'line-too-long': 1, 'bad-whitespace': 5, 'missing-docstring': 1, 'undefined-variable': 2}",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
Summarizing Numpy Array Length,Default,python,2,"{'line-too-long': 1, 'bad-whitespace': 6, 'missing-docstring': 1, 'undefined-variable': 2}",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
Summarizing Numpy Array Length,Default,python,13,"{'missing-docstring': 2, 'redefined-outer-name': 1, 'no-else-return': 1}",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Summarizing Numpy Array Length,Default,python,8,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summarizing Numpy Array Length,Default,python,10,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embedding Word Vectors.,Default,python,33,"{'trailing-whitespace': 2, 'missing-docstring': 1}",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embedding Word Vectors.,Default,python,33,"{'trailing-whitespace': 2, 'missing-docstring': 1}",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embedding Word Vectors.,Default,python,42,"{'trailing-whitespace': 2, 'missing-docstring': 1}",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embedding Word Vectors.,Default,python,3,"{'missing-docstring': 1, 'import-error': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Embedding Word Vectors.,Default,python,3,"{'missing-docstring': 1, 'invalid-name': 1, 'undefined-variable': 1}",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embedding Word Vectors.,Default,python,33,"{'trailing-whitespace': 2, 'missing-docstring': 1}",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embedding Word Vectors.,Default,python,26,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swapping Print and Len Functions,Default,python,5,"{'missing-docstring': 1, 'redefined-builtin': 2, 'invalid-name': 3}",0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swap len and print,Default,python,3,"{'missing-docstring': 1, 'invalid-name': 1}",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swap len and print,Default,python,3,"{'missing-docstring': 1, 'invalid-name': 1}",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function fix: print_len(),Default,python,4,"{'missing-docstring': 1, 'invalid-name': 1}",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Function fix: print_len(),Default,python,5,"{'missing-docstring': 1, 'redefined-builtin': 2, 'invalid-name': 3}",0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swap len and print,Default,python,8,"{'missing-docstring': 2, 'redefined-builtin': 2, 'used-before-assignment': 1}",0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
