Title,Model,Code Type,LOC,Errors,Missing Semicolon,Unexpected Comma,Unnecessary Semicolon,Unclosed Regular Expression,String Formatting,Confusing Syntax,Closing Pair not Used,Labelling Error,Missing Initializer for Constant,Redeclaring Variables,Overriding Constants,Used before Declared,Use Restricted Word,Incorrect Identifier,Module Code Error,General Import Error,Operator Error,Unlocal Variable Call in Function,Dot Notation,Class properties Outside Methods,Duplicate Class Methods,Other Error
statsigstatus,https://raw.githubusercontent.com/statsig-io/statsigstatus/main/index.js,javascript,290,{'other error': 11},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
expediagroup.github.io,https://raw.githubusercontent.com/ExpediaGroup/expediagroup.github.io/main/jest.config.js,javascript,28,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
originals,https://raw.githubusercontent.com/ordzaar/originals/main/.lintstagedrc.js,javascript,5,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mocha-json-serialize-reporter,https://raw.githubusercontent.com/plasticrake/mocha-json-serialize-reporter/master/.eslintrc.js,javascript,19,{'other error': 2},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
tauri-plugin-decorum,https://raw.githubusercontent.com/clearlysid/tauri-plugin-decorum/main/rollup.config.js,javascript,32,{'missing semicolon': 6},6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AdGuardFiltersStats,https://raw.githubusercontent.com/AdguardTeam/AdGuardFiltersStats/master/babel.config.js,javascript,13,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stepanenko3,https://raw.githubusercontent.com/stepanenko3/stepanenko3/main/index.js,javascript,505,{'missing semicolon': 2},2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muzammilshakir,https://raw.githubusercontent.com/muzammilshakir/muzammilshakir/main/index.js,javascript,56,{'missing semicolon': 3},3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDSC-JU-Website,https://raw.githubusercontent.com/GDSC-Jadavpur-University/GDSC-JU-Website/main/tailwind.config.js,javascript,26,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
switcher-client-js,https://raw.githubusercontent.com/switcherapi/switcher-client-js/master/switcher-client.js,javascript,27,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josephfusco,https://raw.githubusercontent.com/josephfusco/josephfusco/master/build_readme.js,javascript,97,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laalquimia.github.io,https://raw.githubusercontent.com/LaAlquimia/laalquimia.github.io/main/svelte.config.js,javascript,6,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiveCodingPortfolio,https://raw.githubusercontent.com/Uchida16104/LiveCodingPortfolio/master/IO%20of%20Audio%20%26%20Video%20with%20p5.js,javascript,84,"{'other error': 2, 'missing semicolon': 2}",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Comp-490-Web-App-Arcade,https://raw.githubusercontent.com/Jingram02525/Comp-490-Web-App-Arcade/main/gameboy_emulator.js,javascript,61,"{'incorrect identifier': 1, 'closing pair not used': 1, 'missing semicolon': 1}",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
datetime,https://raw.githubusercontent.com/Zlkcyber/datetime/main/time.js,javascript,35,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
summarize-news,https://raw.githubusercontent.com/nborbit/summarize-news/master/postcss.config.js,javascript,7,{'missing semicolon': 1},1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meteor-packages,https://raw.githubusercontent.com/quavedev/meteor-packages/main/prettier.config.js,javascript,2,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IcedVanillaLatte.github.io,https://raw.githubusercontent.com/IcedVanillaLatte/IcedVanillaLatte.github.io/master/banner.js,javascript,20,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usrbg,https://raw.githubusercontent.com/AutumnVN/usrbg/main/index.js,javascript,16,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be_grateful,https://raw.githubusercontent.com/puntorigen/be_grateful/main/markdown.config.js,javascript,63,{'missing semicolon': 2},2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBM-ElectricMeter,https://raw.githubusercontent.com/GrupoProcapi/SBM-ElectricMeter/main/postcss.config.js,javascript,7,{'missing semicolon': 1},1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2m4u,https://raw.githubusercontent.com/2M4U/2m4u/main/fetchData.js,javascript,36,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iucg-insights,https://raw.githubusercontent.com/build-umass/iucg-insights/main/server.js,javascript,481,"{'missing semicolon': 110, 'other error': 2}",110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
docs,https://raw.githubusercontent.com/GreptimeTeam/docs/main/commitlint.config.js,javascript,4,{'missing semicolon': 1},1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
discrapper-canary,https://raw.githubusercontent.com/Wumpus-Central/discrapper-canary/main/routes.js,javascript,14154,"{'confusing syntax': 501, 'missing semicolon': 538, 'other error': 95, 'incorrect identifier': 1, 'unlocal variable call in function': 1}",538,0,0,0,0,501,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,95
